species	habitat	taxonomic.class	tissue	diet.type	source.iso.13C	source.iso.15N	delta13C	delta15N	citation
Peromyscus_leucopus	terrestrial	mammalia	muscle	pellet	-19.7	2.8	-0.7	3.2	"DeMots, R. L., Novak, J. M., Gaines, K. F., Gregor, A. J., Romanek, C. S., & Soluk, D. A. (2010). Tissue–diet discrimination factors and turnover of stable carbon and nitrogen isotopes in white-footed mice (Peromyscus leucopus). Canadian Journal of Zoology, 88(10), 961-967."
Peromyscus_leucopus	terrestrial	mammalia	blood	pellet	-19.7	2.8	-1.8	3.4	"DeMots, R. L., Novak, J. M., Gaines, K. F., Gregor, A. J., Romanek, C. S., & Soluk, D. A. (2010). Tissue–diet discrimination factors and turnover of stable carbon and nitrogen isotopes in white-footed mice (Peromyscus leucopus). Canadian Journal of Zoology, 88(10), 961-967."
Peromyscus_leucopus	terrestrial	mammalia	hair	pellet	-19.7	2.8	-1.1	2.9	"DeMots, R. L., Novak, J. M., Gaines, K. F., Gregor, A. J., Romanek, C. S., & Soluk, D. A. (2010). Tissue–diet discrimination factors and turnover of stable carbon and nitrogen isotopes in white-footed mice (Peromyscus leucopus). Canadian Journal of Zoology, 88(10), 961-967."
Peromyscus_maniculatus	terrestrial	mammalia	blood	pellet	-19.4	3.6	-0.2	2.3	"Miller, J. F., Millar, J. S., & Longstaffe, F. J. (2008). Carbon-and nitrogen-isotope tissue–diet discrimination and turnover rates in deer mice, Peromyscus maniculatus. Canadian journal of Zoology, 86(7), 685-691."
Peromyscus_maniculatus	terrestrial	mammalia	liver	pellet	-19.4	3.6	-0.8	3.4	"Miller, J. F., Millar, J. S., & Longstaffe, F. J. (2008). Carbon-and nitrogen-isotope tissue–diet discrimination and turnover rates in deer mice, Peromyscus maniculatus. Canadian journal of Zoology, 86(7), 685-691."
Peromyscus_maniculatus	terrestrial	mammalia	muscle	pellet	-19.4	3.6	-0.7	2.5	"Miller, J. F., Millar, J. S., & Longstaffe, F. J. (2008). Carbon-and nitrogen-isotope tissue–diet discrimination and turnover rates in deer mice, Peromyscus maniculatus. Canadian journal of Zoology, 86(7), 685-691."
Peromyscus_maniculatus	terrestrial	mammalia	milk	pellet	-19.4	3.6	-1.1	1.9	"Miller, J. F., Millar, J. S., & Longstaffe, F. J. (2008). Carbon-and nitrogen-isotope tissue–diet discrimination and turnover rates in deer mice, Peromyscus maniculatus. Canadian journal of Zoology, 86(7), 685-691."
Rangifer_tarandus	terrestrial	mammalia	blood	pellet	-28.6	3.7	3.5	4.2	"Halley, D. J., Minagawa, M., Nieminen, M., & Gaare, E. (2010). Diet: tissue stable isotope fractionation of carbon and nitrogen in blood plasma and whole blood of male reindeer Rangifer tarandus. Polar biology, 33(10), 1303-1309."
Rangifer_tarandus	terrestrial	mammalia	blood	pellet	-28.6	3.7	3.7	2.5	"Halley, D. J., Minagawa, M., Nieminen, M., & Gaare, E. (2010). Diet: tissue stable isotope fractionation of carbon and nitrogen in blood plasma and whole blood of male reindeer Rangifer tarandus. Polar biology, 33(10), 1303-1309."
Rangifer_tarandus	terrestrial	mammalia	muscle	pellet	-28.6	3.7	4.4	2.4	"Halley, D. J., Minagawa, M., Nieminen, M., & Gaare, E. (2010). Diet: tissue stable isotope fractionation of carbon and nitrogen in blood plasma and whole blood of male reindeer Rangifer tarandus. Polar biology, 33(10), 1303-1309."
Somateria_fischeri	marine	aves	blood	carnivore	-20.3	6.7	2	4	"Federer, R. N., Hollmen, T. E., Esler, D., Wooller, M. J., & Wang, S. W. (2010). Stable carbon and nitrogen isotope discrimination factors from diet to blood plasma, cellular blood, feathers, and adipose tissue fatty acids in Spectacled Eiders (Somateria fischeri). Canadian Journal of Zoology, 88(9), 866-874."
Somateria_fischeri	marine	aves	blood	carnivore	-20.3	6.7	0	4.9	"Federer, R. N., Hollmen, T. E., Esler, D., Wooller, M. J., & Wang, S. W. (2010). Stable carbon and nitrogen isotope discrimination factors from diet to blood plasma, cellular blood, feathers, and adipose tissue fatty acids in Spectacled Eiders (Somateria fischeri). Canadian Journal of Zoology, 88(9), 866-874."
Somateria_fischeri	marine	aves	feather	carnivore	-20.3	6.7	3.2	5.6	"Federer, R. N., Hollmen, T. E., Esler, D., Wooller, M. J., & Wang, S. W. (2010). Stable carbon and nitrogen isotope discrimination factors from diet to blood plasma, cellular blood, feathers, and adipose tissue fatty acids in Spectacled Eiders (Somateria fischeri). Canadian Journal of Zoology, 88(9), 866-874."
Odocoileus_virginianus	terrestrial	mammalia	hair	herbivore	-20.63	-0.37	0.27	5.15	"Darr, R. L., & Hewitt, D. G. (2008). Stable isotope trophic shifts in white-tailed deer. Journal of Wildlife Management, 72(7), 1525-1531."
Odocoileus_virginianus	terrestrial	mammalia	blood	herbivore	-22.49	-0.65	0.35	4.41	"Darr, R. L., & Hewitt, D. G. (2008). Stable isotope trophic shifts in white-tailed deer. Journal of Wildlife Management, 72(7), 1525-1531."
Odocoileus_virginianus	terrestrial	mammalia	blood	herbivore	-20.25	-0.33	-0.36	5.89	"Darr, R. L., & Hewitt, D. G. (2008). Stable isotope trophic shifts in white-tailed deer. Journal of Wildlife Management, 72(7), 1525-1531."
Pycnonotus_xanthopygos	terrestrial	aves	blood	herbivore	NA	1.21	NA	4.1	"Tsahar, E., Wolf, N., Izhaki, I., Arad, Z., & del Rio, C. M. (2008). Dietary protein influences the rate of 15N incorporation in blood cells and plasma of Yellow-vented bulbuls (Pycnonotus xanthopygos). Journal of Experimental Biology, 211(3), 459-465."
Pycnonotus_xanthopygos	terrestrial	aves	blood	herbivore	NA	1.21	NA	4.49	"Tsahar, E., Wolf, N., Izhaki, I., Arad, Z., & del Rio, C. M. (2008). Dietary protein influences the rate of 15N incorporation in blood cells and plasma of Yellow-vented bulbuls (Pycnonotus xanthopygos). Journal of Experimental Biology, 211(3), 459-465."
Cygnus_columbianus	terrestrial	aves	blood	pellet	-21.46	1.95	0.46	4	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Cygnus_columbianus	terrestrial	aves	blood	pellet	-21.46	1.95	-0.64	5.65	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
